"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"2xAAA_PCB";1;"AAA_hldr";;;
2;"U1";"3pin5vReg";1;"5VReg";;;
3;"SW1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SW_SPDT";;;
4;"RV1";"Potentiometer_Trimmer_ACP_CA6v_Horizontal";1;"200K TRIMPOT";;;
5;"R18,R17,R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"10K";;;
6;"R16,R15,R14,R13,R12,R11,R10,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"1K";;;
7;"R6,R5,R4,R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"100K";;;
8;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1M";;;
9;"J3,J4";"GALV_PAD";2;"TEST_1P";;;
10;"D8,D7,D6,D5,D4,D3,D2,D1";"LED_D5.0mm";8;"LED";;;
11;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"0.1uF";;;
12;"C2";"CP_Radial_D5.0mm_P2.00mm";1;"1uF";;;
13;"J2";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"bat_con";;;
14;"U2";"DIP-8_W7.62mm";1;"ATTINY85-20PU";;;
15;"U3";"DIP-14_W7.62mm_LongPads";1;"LM324";;;
16;"U4";"DIP-16_W7.62mm_LongPads";1;"74HC595";;;
