Love Meter v2a Bill of Materials - Damon Printz,,,November 2018,,,,,
ID,Designation,Value,Footprint,Part No.,Description,Manufacturer,Provider,Comment
1,C1,0.1uF,2.5mm Thru Hole,BC1072TR-ND,CAP CER 1000PF 50V X7R RADIAL,Vishay BC Components,Digikey,Ceramic Capacitor
2,C2,1uF,5mm OD x 2mm pitch,ESK105M050AC3AA,CAP ALUM 1UF 20% 50V RADIAL,KEMET,Digikey,Electrolytic Polarized Capacitor
3,D1,Blue,5mm Thru Hole,WP7113QBC/D,LED BLUE CLEAR T-1 3/4 T/H,Kingbright,Digikey,"5mm, Round dome top, clear casing, 15 - 45 deg field of view, 8.5 - 8.8 mm tall, 1000 - 8000 mcd, 0 - 30 mA, < 4V Vf"
4,D2,Green,5mm Thru Hole,WP7113LZGCK,LED GREEN CLEAR T-1 3/4 T/H,Kingbright,Digikey,
5,D3,Yellow,5mm Thru Hole,WP7113SYC,LED YELLOW CLEAR T-1 3/4 T/H,Kingbright,Digikey,
6,D4,Orange,5mm Thru Hole,SSL-LX5093SOC,LED ORANGE CLEAR T-1 3/4 T/H,Lumex Opto/Components Inc,Digikey,
7,D5,Red,5mm Thru Hole,SSL-LX5093SRC/E,LED RED CLEAR T-1 3/4 T/H,Lumex Opto/Components Inc,Digikey,
8,D6,Purple/Violet,5mm Thru Hole,SSL-LX5093VC,LED PURPLE CLEAR T-1 3/4 T/H,Lumex Opto/Components Inc,Digikey,
9,D7,Pink,5mm Thru Hole,SSL-LX5093PC,LED PINK CLEAR T-1 3/4 T/H,Lumex Opto/Components Inc,Digikey,
10,D8,White,5mm Thru Hole,SLX-LX5093UWC/C,LED WHITE CLEAR T-1 3/4 T/H,Lumex Opto/Components Inc,Digikey,
11,J1,,2x12.7mm Thru Hole,2468,BATTERY HOLDER AAA 2 CELL PC PIN,Keystone Electronics,Digikey,Note: May be exchanged for a AAA holder with actual wires instead of prongs
12,J2,DNP,,,DNP,,,Do Not Place
13,J3,,3x2.54mm,61300311121,CONN HEADER 3 POS 2.54,Wurth Electronics Inc,Digikey,Headers for U1
14,R4,DNP,,,DNP,,,Do Not Place
15,R1,1M,6.3mm Thru Hole,CF14JT1M00,RES 1M OHM 1/4W 5% AXIAL,Stackpole Electronics Inc,Digikey,5% Resistor
16,"R2, R3, R5, R6",100k,6.3mm Thru Hole,CF14JT100K,RES 100K OHM 1/4W 5% AXIAL,Stackpole Electronics Inc,Digikey,5% Resistor
17,"R7, R8, R17, R18",10k,6.3mm Thru Hole,CF14JT10K0,RES 10K OHM 1/4W 5% AXIAL,Stackpole Electronics Inc,Digikey,5% Resistor
18,"R9, R10, R11, R12, R13, R14, R15, R16",1k,6.3mm Thru Hole,CF14JT1K00,RES 1K OHM 1/4W 5% AXIAL,Stackpole Electronics Inc,Digikey,5% Resistor
19,RV1,200k,5x5mm Thru Hole,3306F-1-204,TRIMMER 200K OHM 0.2W PC PIN TOP,Bourns Inc,Digikey,Trimpot Resistor
20,SW1,,3x2.54mm,EG1218,SWITCH SLIDE SPDT 200MA 30V,E-Switch,Digikey,SPDT switch
21,U1,,3x2.54mm,,,,Alibaba,5V DC-DC Boost Regulator
22,U2,,DIP-8,ATTINY85-20PU,IC MCU 8BIT 8KB FLASH 8DIP,Microchip Technology,Digikey,Microprocessor
23,U3,,DIP-14,LM324N,IC OPAMP GP 1.2MHZ 14DIP,Texas Instruments,Digikey,Op Amps
24,U4,,DIP-16,SN74HC595N,IC 8-BIT SHIFT REGISTER 16-DIP,Texas Instruments,Digikey,Shift Register
25,X1,,DIP-8,A 08-LC-TT,CONN IC DIP SOCKET 8POS TIN,Assmann WSW Components,Digikey,IC Socket
26,X2,,DIP-14,A 14-LC-TT,CONN IC DIP SOCKET 14POS TIN,Assmann WSW Components,Digikey,IC Socket
27,X3,,DIP-16,A 16-LC-TT,CONN IC DIP SOCKET 16POS TIN,Assmann WSW Components,Digikey,IC Socket
28,F1,,,31201527,"3M 4008 series, 1"" wide, 1/8"" thick Urethane Double-Sided Tape ",3M,Grainger,Double sided foam tape
29,F2,,,,"2 layer, FR4, Red soldermask with ENIG finish",,,PCB Board
